K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
1.04208 0.0181549 0.0187633 0.0193647 0.0199543 0.0205273 0.0210786 0.0216028 0.0220948 0.0225495 0.0229622 0.0233285 0.0236448 0.0239078 0.0241155 0.0242663 0.0243599 0.0243964 0.0243773 0.0243045 0.0241807 
1.12224 0.0182536 0.0188732 0.019486 0.0200871 0.0206714 0.0212336 0.0217683 0.0222701 0.0227336 0.0231539 0.0235266 0.0238476 0.024114 0.0243232 0.024474 0.0245657 0.0245988 0.0245746 0.0244953 0.0243638 
1.2024 0.0183526 0.0189837 0.0196081 0.0202209 0.0208168 0.0213902 0.0219356 0.0224473 0.0229198 0.023348 0.0237271 0.0240532 0.0243229 0.0245337 0.0246843 0.0247741 0.0248036 0.0247743 0.0246883 0.0245488 
1.28257 0.0184519 0.0190947 0.019731 0.0203557 0.0209634 0.0215483 0.0221047 0.0226265 0.0231083 0.0235445 0.0239302 0.0242614 0.0245345 0.024747 0.0248974 0.0249852 0.025011 0.0249763 0.0248834 0.0247356 
1.36273 0.0185515 0.0192061 0.0198545 0.0204914 0.0211112 0.0217079 0.0222754 0.0228078 0.0232989 0.0237434 0.0241359 0.0244723 0.0247489 0.024963 0.0251132 0.025199 0.0252209 0.0251806 0.0250806 0.0249244 
1.44289 0.0186513 0.0193181 0.0199788 0.0206281 0.0212602 0.0218689 0.022448 0.022991 0.0234918 0.0239447 0.0243442 0.0246859 0.024966 0.0251819 0.0253318 0.0254154 0.0254333 0.0253872 0.0252799 0.025115 
1.52305 0.0187514 0.0194304 0.0201037 0.0207657 0.0214104 0.0220314 0.0226222 0.0231762 0.0236869 0.0241484 0.0245551 0.0249023 0.025186 0.0254035 0.0255532 0.0256345 0.0256483 0.0255962 0.0254814 0.0253074 
1.60321 0.0188517 0.0195432 0.0202293 0.0209043 0.0215618 0.0221954 0.0227981 0.0233633 0.0238843 0.0243546 0.0247686 0.0251214 0.0254088 0.025628 0.0257773 0.0258563 0.0258658 0.0258076 0.0256849 0.0255017 
1.68337 0.0189521 0.0196564 0.0203555 0.0210437 0.0217143 0.0223607 0.0229758 0.0235525 0.0240839 0.0245633 0.0249848 0.0253432 0.0256344 0.0258554 0.0260043 0.0260808 0.0260858 0.0260213 0.0258906 0.0256978 
1.76353 0.0190527 0.0197699 0.0204823 0.0211839 0.021868 0.0225275 0.0231552 0.0237437 0.0242857 0.0247744 0.0252036 0.0255679 0.0258629 0.0260856 0.0262341 0.0263081 0.0263084 0.0262374 0.0260984 0.0258958 
1.84369 0.0191534 0.0198837 0.0206097 0.021325 0.0220228 0.0226957 0.0233363 0.0239368 0.0244897 0.024988 0.025425 0.0257953 0.0260943 0.0263187 0.0264668 0.0265381 0.0265336 0.0264558 0.0263082 0.0260956 
1.92385 0.0192542 0.0199979 0.0207376 0.0214669 0.0221786 0.0228653 0.0235191 0.0241319 0.024696 0.0252041 0.0256492 0.0260256 0.0263286 0.0265548 0.0267023 0.0267708 0.0267614 0.0266766 0.0265202 0.0262972 
2.00401 0.019355 0.0201123 0.0208661 0.0216096 0.0223356 0.0230363 0.0237035 0.024329 0.0249046 0.0254226 0.025876 0.0262587 0.0265657 0.0267937 0.0269407 0.0270063 0.0269917 0.0268997 0.0267343 0.0265006 
2.08417 0.0194559 0.020227 0.020995 0.0217531 0.0224936 0.0232086 0.0238897 0.0245281 0.0251154 0.0256437 0.0261056 0.0264947 0.0268059 0.0270357 0.027182 0.0272446 0.0272247 0.0271253 0.0269505 0.0267058 
2.16433 0.0195567 0.0203419 0.0211244 0.0218973 0.0226527 0.0233824 0.0240775 0.0247291 0.0253286 0.0258673 0.0263379 0.0267335 0.027049 0.0272806 0.0274263 0.0274857 0.0274603 0.0273532 0.0271687 0.0269127 
2.24449 0.0196576 0.0204569 0.0212542 0.0220422 0.0228128 0.0235574 0.0242669 0.0249322 0.0255439 0.0260935 0.0265729 0.0269753 0.0272951 0.0275285 0.0276735 0.0277296 0.0276985 0.0275834 0.0273891 0.0271215 
2.32465 0.0197583 0.0205721 0.0213844 0.0221878 0.0229739 0.0237338 0.0244581 0.0251372 0.0257616 0.0263222 0.0268107 0.0272199 0.0275442 0.0277795 0.0279236 0.0279764 0.0279394 0.0278161 0.0276115 0.0273319 
2.40481 0.0198589 0.0206875 0.0215151 0.0223341 0.0231359 0.0239114 0.0246509 0.0253442 0.0259815 0.0265534 0.0270513 0.0274676 0.0277964 0.0280335 0.0281768 0.028226 0.0281829 0.0280511 0.027836 0.0275442 
2.48497 0.0199594 0.0208029 0.021646 0.022481 0.023299 0.0240904 0.0248453 0.0255531 0.0262037 0.0267873 0.0272946 0.0277182 0.0280516 0.0282906 0.028433 0.0284785 0.0284291 0.0282886 0.0280626 0.0277581 
2.56513 0.0200598 0.0209183 0.0217773 0.0226285 0.0234629 0.0242707 0.0250413 0.0257641 0.0264283 0.0270237 0.0275408 0.0279717 0.0283099 0.0285508 0.0286922 0.0287339 0.0286779 0.0285284 0.0282913 0.0279738 
2.64529 0.0201599 0.0210339 0.0219089 0.0227766 0.0236278 0.0244522 0.025239 0.025977 0.0266551 0.0272627 0.0277899 0.0282283 0.0285713 0.0288142 0.0289545 0.0289921 0.0289294 0.0287706 0.028522 0.0281912 
2.72545 0.0202598 0.0211494 0.0220407 0.0229253 0.0237936 0.0246349 0.0254382 0.0261918 0.0268842 0.0275043 0.0280418 0.028488 0.0288359 0.0290807 0.0292198 0.0292534 0.0291836 0.0290153 0.0287548 0.0284102 
2.80561 0.0203594 0.0212648 0.0221728 0.0230745 0.0239602 0.0248189 0.0256391 0.0264087 0.0271157 0.0277485 0.0282965 0.0287507 0.0291036 0.0293503 0.0294883 0.0295175 0.0294406 0.0292623 0.0289896 0.028631 
2.88577 0.0204588 0.0213802 0.022305 0.0232242 0.0241277 0.0250041 0.0258415 0.0266275 0.0273494 0.0279953 0.0285542 0.0290165 0.0293745 0.0296232 0.0297599 0.0297846 0.0297002 0.0295117 0.0292265 0.0288533 
2.96593 0.0205578 0.0214955 0.0224375 0.0233744 0.024296 0.0251905 0.0260456 0.0268482 0.0275855 0.0282449 0.0288148 0.0292853 0.0296486 0.0298993 0.0300346 0.0300547 0.0299625 0.0297636 0.0294654 0.0290774 
3.04609 0.0206565 0.0216107 0.02257 0.0235251 0.0244651 0.0253781 0.0262511 0.0270709 0.0278239 0.028497 0.0290783 0.0295574 0.029926 0.0301786 0.0303125 0.0303278 0.0302276 0.0300178 0.0297064 0.029303 
3.12625 0.0207548 0.0217257 0.0227027 0.0236761 0.0246349 0.0255668 0.0264583 0.0272956 0.0280646 0.0287518 0.0293448 0.0298325 0.0302067 0.0304613 0.0305936 0.0306039 0.0304955 0.0302745 0.0299494 0.0295303 
3.20641 0.0208526 0.0218404 0.0228354 0.0238276 0.0248055 0.0257566 0.0266669 0.0275222 0.0283077 0.0290094 0.0296142 0.0301109 0.0304906 0.0307472 0.0308779 0.030883 0.0307661 0.0305336 0.0301944 0.0297592 
3.28657 0.02095 0.021955 0.0229682 0.0239794 0.0249769 0.0259475 0.0268771 0.0277507 0.0285531 0.0292696 0.0298866 0.0303925 0.0307779 0.0310365 0.0311655 0.0311652 0.0310395 0.0307951 0.0304414 0.0299896 
3.36673 0.0210469 0.0220693 0.0231009 0.0241315 0.0251489 0.0261396 0.0270888 0.0279812 0.0288008 0.0295325 0.030162 0.0306773 0.0310685 0.0313292 0.0314563 0.0314505 0.0313156 0.031059 0.0306904 0.0302216 
3.44689 0.0211433 0.0221833 0.0232337 0.0242839 0.0253215 0.0263327 0.027302 0.0282136 0.0290509 0.0297981 0.0304405 0.0309653 0.0313625 0.0316252 0.0317505 0.0317388 0.0315946 0.0313253 0.0309414 0.0304552 
3.52705 0.0212391 0.0222969 0.0233664 0.0244366 0.0254949 0.0265268 0.0275167 0.0284479 0.0293033 0.0300665 0.030722 0.0312567 0.0316599 0.0319247 0.0320479 0.0320303 0.0318763 0.0315941 0.0311944 0.0306903 
3.60721 0.0213343 0.0224102 0.023499 0.0245895 0.0256688 0.026722 0.0277329 0.0286841 0.0295581 0.0303376 0.0310066 0.0315513 0.0319608 0.0322277 0.0323488 0.0323249 0.0321609 0.0318652 0.0314493 0.0309268 
3.68737 0.0214289 0.022523 0.0236314 0.0247426 0.0258432 0.0269181 0.0279504 0.0289223 0.0298153 0.0306115 0.0312943 0.0318493 0.0322651 0.0325341 0.032653 0.0326226 0.0324482 0.0321388 0.0317062 0.0311649 
3.76754 0.0215228 0.0226355 0.0237637 0.0248958 0.0260183 0.0271153 0.0281695 0.0291623 0.0300748 0.0308881 0.0315851 0.0321507 0.032573 0.0328441 0.0329605 0.0329235 0.0327385 0.0324148 0.0319651 0.0314044 
3.8477 0.0216161 0.0227474 0.0238957 0.0250492 0.0261938 0.0273134 0.0283899 0.0294042 0.0303366 0.0311676 0.0318791 0.0324554 0.0328843 0.0331576 0.0332716 0.0332276 0.0330315 0.0326932 0.0322259 0.0316453 
3.92786 0.0217086 0.0228588 0.0240276 0.0252027 0.0263699 0.0275124 0.0286117 0.0296481 0.0306008 0.0314498 0.0321762 0.0327636 0.0331993 0.0334746 0.0335861 0.0335349 0.0333274 0.032974 0.0324887 0.0318876 
4.00802 0.0218004 0.0229697 0.0241591 0.0253563 0.0265463 0.0277123 0.028835 0.0298938 0.0308674 0.0317348 0.0324765 0.0330753 0.0335178 0.0337953 0.033904 0.0338455 0.0336262 0.0332573 0.0327533 0.0321314 
4.08818 0.0218913 0.02308 0.0242904 0.0255098 0.0267232 0.0279131 0.0290595 0.0301413 0.0311364 0.0320227 0.03278 0.0333904 0.03384 0.0341197 0.0342255 0.0341593 0.0339279 0.033543 0.0330199 0.0323765 
4.16834 0.0219815 0.0231897 0.0244213 0.0256634 0.0269005 0.0281147 0.0292855 0.0303908 0.0314077 0.0323134 0.0330867 0.033709 0.0341659 0.0344477 0.0345505 0.0344763 0.0342324 0.033831 0.0332883 0.0326229 
4.2485 0.0220708 0.0232987 0.0245518 0.0258169 0.0270782 0.0283171 0.0295127 0.0306421 0.0316814 0.0326069 0.0333967 0.0340312 0.0344954 0.0347794 0.0348791 0.0347967 0.0345398 0.0341215 0.0335586 0.0328707 
4.32866 0.0221592 0.0234071 0.0246819 0.0259703 0.0272561 0.0285204 0.0297413 0.0308952 0.0319574 0.0329033 0.0337099 0.0343569 0.0348287 0.0351149 0.0352113 0.0351203 0.0348502 0.0344144 0.0338307 0.0331197 
4.40882 0.0222467 0.0235147 0.0248115 0.0261236 0.0274344 0.0287243 0.0299711 0.0311501 0.0322358 0.0332026 0.0340264 0.0346863 0.0351658 0.0354541 0.0355472 0.0354473 0.0351634 0.0347097 0.0341047 0.0333701 
4.48898 0.0223332 0.0236216 0.0249406 0.0262767 0.0276129 0.0289291 0.0302022 0.0314069 0.0325166 0.0335048 0.0343463 0.0350193 0.0355066 0.0357972 0.0358866 0.0357777 0.0354796 0.0350074 0.0343806 0.0336216 
4.56914 0.0224187 0.0237276 0.0250692 0.0264296 0.0277916 0.0291345 0.0304345 0.0316654 0.0327998 0.0338098 0.0346694 0.0353559 0.0358513 0.0361441 0.0362298 0.0361114 0.0357986 0.0353074 0.0346582 0.0338743 
4.6493 0.0225033 0.0238328 0.0251972 0.0265823 0.0279705 0.0293405 0.030668 0.0319258 0.0330853 0.0341177 0.034996 0.0356962 0.0361999 0.0364949 0.0365767 0.0364485 0.0361207 0.0356099 0.0349376 0.0341283 
4.72946 0.0225867 0.0239372 0.0253246 0.0267347 0.0281495 0.0295473 0.0309027 0.0321879 0.0333732 0.0344286 0.0353259 0.0360403 0.0365524 0.0368496 0.0369273 0.036789 0.0364456 0.0359147 0.0352188 0.0343833 
4.80962 0.0226691 0.0240406 0.0254513 0.0268868 0.0283287 0.0297546 0.0311386 0.0324518 0.0336634 0.0347424 0.0356592 0.0363881 0.0369088 0.0372083 0.0372818 0.037133 0.0367736 0.036222 0.0355017 0.0346395 
4.88978 0.0227504 0.0241431 0.0255774 0.0270386 0.0285079 0.0299624 0.0313756 0.0327174 0.033956 0.0350591 0.035996 0.0367397 0.0372692 0.0375709 0.03764 0.0374804 0.0371044 0.0365316 0.0357864 0.0348968 
4.96994 0.0228306 0.0242447 0.0257027 0.0271899 0.0286871 0.0301709 0.0316137 0.0329848 0.034251 0.0353788 0.0363362 0.0370951 0.0376336 0.0379376 0.038002 0.0378313 0.0374383 0.0368435 0.0360727 0.0351551 
5.0501 0.0229095 0.0243452 0.0258273 0.0273408 0.0288663 0.0303798 0.0318529 0.0332539 0.0345483 0.0357014 0.0366799 0.0374544 0.0380021 0.0383083 0.038368 0.0381856 0.0377751 0.0371578 0.0363608 0.0354144 
5.13026 0.0229873 0.0244446 0.025951 0.0274912 0.0290455 0.0305891 0.0320932 0.0335246 0.034848 0.036027 0.0370271 0.0378176 0.0383747 0.0386832 0.0387378 0.0385435 0.0381149 0.0374745 0.0366505 0.0356747 
5.21042 0.0230638 0.024543 0.0260739 0.0276412 0.0292245 0.0307989 0.0323345 0.0337971 0.03515 0.0363556 0.0373778 0.0381847 0.0387514 0.0390622 0.0391116 0.038905 0.0384577 0.0377934 0.0369418 0.035936 
5.29058 0.023139 0.0246403 0.026196 0.0277905 0.0294035 0.0310091 0.0325767 0.0340712 0.0354544 0.0366872 0.037732 0.0385557 0.0391323 0.0394454 0.0394893 0.03927 0.0388035 0.0381148 0.0372348 0.0361982 
5.37074 0.023213 0.0247364 0.0263171 0.0279393 0.0295822 0.0312197 0.03282 0.034347 0.0357611 0.0370218 0.0380898 0.0389308 0.0395175 0.0398328 0.0398711 0.0396385 0.0391523 0.0384384 0.0375294 0.0364612 
5.4509 0.0232856 0.0248313 0.0264372 0.0280874 0.0297608 0.0314305 0.0330642 0.0346243 0.0360701 0.0373593 0.0384513 0.0393098 0.0399068 0.0402244 0.0402568 0.0400107 0.039504 0.0387643 0.0378255 0.0367251 
5.53106 0.0233569 0.0249251 0.0265563 0.0282348 0.0299391 0.0316417 0.0333093 0.0349033 0.0363815 0.0376999 0.0388163 0.039693 0.0403005 0.0406204 0.0406467 0.0403865 0.0398588 0.0390925 0.0381231 0.0369898 
5.61122 0.0234268 0.0250175 0.0266744 0.0283815 0.0301171 0.031853 0.0335552 0.0351839 0.0366951 0.0380436 0.039185 0.0400802 0.0406985 0.0410207 0.0410406 0.0407659 0.0402166 0.039423 0.0384223 0.0372552 
5.69138 0.0234953 0.0251087 0.0267914 0.0285275 0.0302947 0.0320646 0.033802 0.035466 0.0370111 0.0383902 0.0395573 0.0404715 0.0411009 0.0414253 0.0414387 0.041149 0.0405774 0.0397558 0.0387229 0.0375214 
5.77154 0.0235623 0.0251985 0.0269073 0.0286726 0.030472 0.0322763 0.0340496 0.0357496 0.0373294 0.0387399 0.0399333 0.040867 0.0415077 0.0418344 0.0418409 0.0415357 0.0409413 0.0400908 0.039025 0.0377882 
5.8517 0.0236279 0.025287 0.0270221 0.0288169 0.0306488 0.0324882 0.034298 0.0360348 0.03765 0.0390926 0.040313 0.0412668 0.041919 0.042248 0.0422473 0.0419262 0.0413081 0.0404281 0.0393285 0.0380557 
5.93186 0.023692 0.0253741 0.0271356 0.0289602 0.0308252 0.0327001 0.0345471 0.0363214 0.0379728 0.0394484 0.0406965 0.0416707 0.0423348 0.0426661 0.042658 0.0423204 0.041678 0.0407675 0.0396334 0.0383237 
6.01202 0.0237546 0.0254598 0.0272479 0.0291027 0.031001 0.032912 0.0347969 0.0366095 0.038298 0.0398073 0.0410837 0.0420789 0.0427551 0.0430887 0.0430729 0.0427183 0.0420509 0.0411092 0.0399397 0.0385923 
6.09218 0.0238157 0.0255441 0.0273589 0.0292441 0.0311763 0.0331239 0.0350474 0.0368991 0.0386253 0.0401692 0.0414747 0.0424915 0.0431801 0.0435159 0.0434922 0.04312 0.0424268 0.0414531 0.0402472 0.0388614 
6.17234 0.0238752 0.0256268 0.0274686 0.0293845 0.0313509 0.0333358 0.0352985 0.03719 0.038955 0.0405342 0.0418695 0.0429084 0.0436096 0.0439478 0.0439157 0.0435254 0.0428058 0.0417991 0.0405561 0.039131 
6.25251 0.0239331 0.025708 0.027577 0.0295239 0.0315249 0.0335475 0.0355501 0.0374824 0.0392868 0.0409023 0.0422682 0.0433297 0.0440439 0.0443843 0.0443437 0.0439347 0.0431877 0.0421473 0.0408662 0.0394009 
6.33267 0.0239894 0.0257877 0.027684 0.0296621 0.0316982 0.0337591 0.0358023 0.037776 0.0396209 0.0412735 0.0426706 0.0437554 0.0444829 0.0448256 0.044776 0.0443477 0.0435727 0.0424976 0.0411775 0.0396712 
6.41283 0.0240441 0.0258659 0.0277896 0.0297992 0.0318707 0.0339705 0.036055 0.038071 0.0399572 0.0416478 0.043077 0.0441856 0.0449267 0.0452716 0.0452128 0.0447646 0.0439608 0.04285 0.04149 0.0399419 
6.49299 0.0240971 0.0259424 0.0278937 0.0299351 0.0320425 0.0341817 0.0363082 0.0383673 0.0402957 0.0420251 0.0434873 0.0446202 0.0453753 0.0457225 0.0456541 0.0451854 0.0443518 0.0432045 0.0418037 0.0402128 
6.57315 0.0241485 0.0260173 0.0279963 0.0300698 0.0322134 0.0343925 0.0365618 0.0386648 0.0406364 0.0424056 0.0439014 0.0450595 0.0458288 0.0461782 0.0460999 0.04561 0.0447459 0.043561 0.0421184 0.0404839 
6.65331 0.0241981 0.0260905 0.0280973 0.0302031 0.0323834 0.0346031 0.0368157 0.0389636 0.0409792 0.0427891 0.0443196 0.0455033 0.0462872 0.0466388 0.0465502 0.0460385 0.045143 0.0439196 0.0424342 0.0407552 
6.73347 0.0242461 0.026162 0.0281969 0.0303352 0.0325524 0.0348132 0.03707 0.0392635 0.0413242 0.0431758 0.0447416 0.0459517 0.0467506 0.0471044 0.0470052 0.0464709 0.045543 0.0442802 0.042751 0.0410265 
6.81363 0.0242923 0.0262319 0.0282948 0.0304658 0.0327205 0.0350229 0.0373246 0.0395646 0.0416712 0.0435656 0.0451677 0.0464048 0.047219 0.0475751 0.0474647 0.0469072 0.0459461 0.0446428 0.0430688 0.041298 
6.89379 0.0243367 0.0263 0.028391 0.0305951 0.0328876 0.0352321 0.0375794 0.0398669 0.0420204 0.0439584 0.0455978 0.0468626 0.0476924 0.0480507 0.0479289 0.0473475 0.0463522 0.0450074 0.0433875 0.0415694 
6.97395 0.0243795 0.0263663 0.0284856 0.0307229 0.0330535 0.0354408 0.0378344 0.0401702 0.0423717 0.0443544 0.0460319 0.0473251 0.048171 0.0485315 0.0483978 0.0477918 0.0467613 0.0453739 0.0437071 0.0418408 
7.05411 0.0244204 0.0264308 0.0285785 0.0308492 0.0332184 0.0356489 0.0380895 0.0404745 0.0427251 0.0447535 0.0464701 0.0477924 0.0486548 0.0490174 0.0488715 0.04824 0.0471734 0.0457422 0.0440276 0.0421121 
7.13427 0.0244595 0.0264935 0.0286696 0.030974 0.033382 0.0358563 0.0383448 0.0407799 0.0430804 0.0451557 0.0469124 0.0482645 0.0491438 0.0495085 0.0493499 0.0486922 0.0475885 0.0461125 0.0443488 0.0423832 
7.21443 0.0244968 0.0265544 0.028759 0.0310971 0.0335444 0.0360631 0.0386 0.0410862 0.0434378 0.045561 0.0473587 0.0487415 0.049638 0.0500049 0.0498331 0.0491484 0.0480065 0.0464846 0.0446708 0.0426541 
7.29459 0.0245323 0.0266134 0.0288466 0.0312187 0.0337056 0.0362691 0.0388553 0.0413934 0.0437972 0.0459693 0.0478092 0.0492234 0.0501376 0.0505066 0.0503212 0.0496086 0.0484275 0.0468585 0.0449935 0.0429247 
7.37475 0.024566 0.0266706 0.0289323 0.0313386 0.0338654 0.0364743 0.0391105 0.0417016 0.0441586 0.0463808 0.0482638 0.0497103 0.0506425 0.0510136 0.0508142 0.0500729 0.0488514 0.0472342 0.0453168 0.043195 
7.45491 0.0245978 0.0267258 0.0290162 0.0314568 0.0340238 0.0366787 0.0393657 0.0420105 0.0445219 0.0467954 0.0487226 0.0502021 0.0511529 0.0515261 0.051312 0.0505412 0.0492783 0.0476116 0.0456407 0.0434649 
7.53507 0.0246277 0.0267791 0.0290982 0.0315733 0.0341808 0.0368822 0.0396206 0.0423203 0.0448871 0.0472131 0.0491856 0.050699 0.0516688 0.052044 0.0518149 0.0510136 0.0497081 0.0479907 0.0459652 0.0437343 
7.61523 0.0246558 0.0268305 0.0291782 0.0316879 0.0343364 0.0370847 0.0398754 0.0426308 0.0452542 0.0476339 0.0496528 0.051201 0.0521902 0.0525674 0.0523227 0.0514901 0.0501408 0.0483715 0.0462901 0.0440033 
7.69539 0.0246819 0.0268799 0.0292563 0.0318008 0.0344904 0.0372862 0.0401299 0.0429421 0.0456231 0.0480577 0.0501242 0.051708 0.0527172 0.0530964 0.0528356 0.0519706 0.0505764 0.048754 0.0466155 0.0442716 
7.77555 0.0247062 0.0269273 0.0293324 0.0319118 0.0346429 0.0374866 0.040384 0.043254 0.0459939 0.0484847 0.0505999 0.0522203 0.0532499 0.0536311 0.0533535 0.0524553 0.0510149 0.049138 0.0469413 0.0445393 
7.85571 0.0247286 0.0269727 0.0294065 0.0320209 0.0347937 0.0376859 0.0406378 0.0435665 0.0463665 0.0489147 0.0510798 0.0527377 0.0537883 0.0541714 0.0538766 0.0529441 0.0514563 0.0495235 0.0472674 0.0448063 
7.93587 0.0247491 0.0270162 0.0294786 0.032128 0.0349429 0.0378841 0.0408912 0.0438795 0.0467408 0.0493477 0.0515641 0.0532604 0.0543324 0.0547174 0.0544048 0.053437 0.0519005 0.0499106 0.0475938 0.0450725 
8.01603 0.0247677 0.0270576 0.0295486 0.0322332 0.0350904 0.038081 0.041144 0.0441931 0.0471169 0.0497838 0.0520526 0.0537884 0.0548824 0.0552692 0.0549382 0.0539341 0.0523476 0.0502991 0.0479203 0.0453379 
8.09619 0.0247844 0.0270969 0.0296165 0.0323364 0.0352361 0.0382767 0.0413964 0.0445072 0.0474947 0.050223 0.0525454 0.0543217 0.0554382 0.0558269 0.0554768 0.0544353 0.0527974 0.0506891 0.0482471 0.0456025 
8.17635 0.0247991 0.0271342 0.0296823 0.0324375 0.03538 0.038471 0.0416481 0.0448216 0.0478741 0.0506652 0.0530426 0.0548604 0.056 0.0563904 0.0560207 0.0549407 0.0532501 0.0510804 0.0485739 0.045866 
8.25651 0.0248119 0.0271694 0.029746 0.0325366 0.0355221 0.0386639 0.0418992 0.0451364 0.0482552 0.0511104 0.0535442 0.0554045 0.0565678 0.05696 0.0565699 0.0554502 0.0537055 0.0514731 0.0489007 0.0461285 
8.33667 0.0248228 0.0272026 0.0298075 0.0326335 0.0356622 0.0388554 0.0421495 0.0454515 0.0486378 0.0515586 0.0540501 0.0559541 0.0571417 0.0575355 0.0571245 0.0559639 0.0541637 0.0518671 0.0492275 0.04639 
8.41683 0.0248318 0.0272336 0.0298669 0.0327283 0.0358005 0.0390454 0.0423991 0.0457669 0.049022 0.0520098 0.0545605 0.0565093 0.0577216 0.0581171 0.0576844 0.0564819 0.0546246 0.0522622 0.0495542 0.0466502 
8.49699 0.0248388 0.0272626 0.029924 0.032821 0.0359367 0.0392338 0.0426478 0.0460825 0.0494077 0.052464 0.0550752 0.05707 0.0583078 0.0587049 0.0582497 0.057004 0.0550882 0.0526586 0.0498807 0.0469093 
8.57715 0.0248439 0.0272895 0.0299789 0.0329114 0.0360709 0.0394206 0.0428957 0.0463982 0.0497948 0.0529211 0.0555944 0.0576362 0.0589002 0.0592989 0.0588206 0.0575303 0.0555545 0.0530561 0.0502071 0.047167 
8.65731 0.0248471 0.0273142 0.0300316 0.0329995 0.0362031 0.0396057 0.0431425 0.0467139 0.0501834 0.0533812 0.0561181 0.0582082 0.0594989 0.0598991 0.0593969 0.0580608 0.0560235 0.0534546 0.0505331 0.0474234 
8.73747 0.0248484 0.0273368 0.0300821 0.0330854 0.0363331 0.0397891 0.0433884 0.0470297 0.0505733 0.0538442 0.0566461 0.0587858 0.060104 0.0605056 0.0599787 0.0585956 0.056495 0.0538542 0.0508587 0.0476784 
8.81764 0.0248477 0.0273573 0.0301302 0.033169 0.0364609 0.0399708 0.0436332 0.0473455 0.0509646 0.0543101 0.0571787 0.0593692 0.0607155 0.0611185 0.0605662 0.0591345 0.0569691 0.0542548 0.0511839 0.0479319 
